States and Union Territories,x,y
Andhra Pradesh,-123.0,-229.0
Arunachal Pradesh,325.0,197.0
Assam,266.0,132.0
Bihar,93.0,107.0
Chhattisgarh,-23.0,-30.0
Goa,-255.0,-221.0
Gujarat,-330.0,3.0
Haryana,-179.0,217.0
Himachal Pradesh,-136.0,298.0
Jharkhand,70.0,39.0
Karnataka,-235.0,-259.0
Kerala,-195.0,-371.0
Madhya Pradesh,-177.0,15.0
Maharashtra,-253.0,-106.0
Manipur,337.0,82.0
Meghalaya,240.0,103.0
Mizoram,315.0,31.0
Nagaland,355.0,125.0
Odisha,41.0,-59.0
Punjab,-189.0,265.0
Rajasthan,-283.0,133.0
Sikkim,177.0,163.0
Tamil Nadu,-146.0,-375.0
Telangana,-129.0,-145.0
Tripura,278.0,44.0
Uttarakhand,-91.0,245.0
Uttar Pradesh,-69.0,152.0
West Bengal,144.0,30.0
Andaman and Nicobar Islands,341.0,-333.0
Chandigarh,-156.0,267.0
Dadra and Nagar Haveli and Daman & Diu,-277.0,-61.0
Delhi,-143.0,190.0
Jammu & Kashmir,-193.0,355.0
Ladakh,-119.0,371.0
Lakshadweep,-318.0,-358.0
Puducherry,-71.0,-344.0